id	dominant_category	cardinality	max_degree	max_degree_title	avg_clust	top_words	top_ents
1	videogames	520	36	"0    FIFA 19 - PlayStation 4
Name: title, dtype: object"	0.19467711147575403	{'playstation': 275, 'nintendo': 133, 'switch': 118, 'ps4': 72, 'controller': 67, 'edizione': 58, 'edition': 45, 'regno': 36, 'unito': 34, 'lego': 28, 'wireless': 22, 'one': 22, 'pro': 21, 'joy-con': 19, 'mario': 17, 'dualshock': 17, 'cuffie': 17, 'classic': 16, 'super': 15, 'limited': 15, 'sony': 15, 'ricarica': 15, 'kingdom': 14, 'gaming': 14, 'led': 14, 'xbox': 14, 'gioco': 14, 'assassin': 13, 'creed': 13, 'custodia': 13, 'mini': 12, 'game': 12, 'classics': 12, 'black': 12, 'slim': 12, 'tennis': 11, 'trilogy': 11, 'usb': 11, 'hearts': 10, 'esclusiva': 10, 'new': 10, 'nacon': 10, 'star': 10, 'pack': 10, 'movie': 10, 'volante': 10, 'final': 10, 'world': 9, 'dragon': 9, 'ball': 9}	"{'PlayStation 4': 206, 'Nintendo Switch': 52, 'Regno Unito': 32, 'PS4': 26, 'PlayStation': 10, 'Playstation 4': 8, 'Edizione:': 6, 'PS3': 6, 'Nintendo Switch Joy': 6, 'Switch:': 5, 'Esclusiva Amazon': 5, 'Edizione': 5, 'Classics': 5, 'Xbox One': 5, 'Edizione: Francia': 5, 'Esclusiva Amazon.it': 4, 'PlayStation 4 - Dualshock 4': 4, 'Controller Wireless V2': 4, 'Tom Clancy': 4, 'Mario': 4, 'PS4 Slim': 4, 'Classic Mini': 4, 'Ps Hits': 4, 'FIFA 19': 3, 'Deluxe': 3, 'Dragon Ball Xenoverse': 3, 'WWE 2K19': 3, 'Just Dance 2019': 3, 'Lego Marvel': 3, 'The Sims 4': 3, 'Crash Bandicoot': 3, 'Nacon Compact Controller Luminosi': 3, 'Nintendo 3DS': 3, 'Rocket League': 3, 'Shadow of the Tomb Raider': 3, 'Call of Duty': 3, 'HDMI': 3, 'PS4 Controller': 3, ""Assassin's Creed"": 3, 'Spagna': 3, 'Lingua italiana': 3, 'PS4 Pro': 3, 'SKIN PS4': 3, 'Resident Evil': 3, 'Star Wars Jedi Fallen Order': 3, 'Grand Theft Auto V': 2, 'GTA V': 2, 'Pro Evolution Soccer': 2, 'Battlefield V': 2, 'The Legend of Zelda': 2}"
2	music	450	21	"607    Fleurs .(Vinile Rosso 180 Gr.)
Name: title, dtype: object"	0.3660551793885132	{'vinile': 20, 'esclusiva': 19, 'amazon.it': 18, 'scarpe': 12, 'edition': 11, 'autografata': 10, 'autografato': 9, 'live': 9, 'unisex': 8, 'fall': 7, 'sanremo': 7, 'adulto': 7, 'martens': 7, 'deluxe': 6, 'hits': 6, 'giradischi': 6, 'edizione': 6, 'sempre': 5, 'day': 5, 'brave': 5, 'doppio': 5, 'stereo': 5, 'adidas': 5, 'gazelle': 5, 'dr.': 5, 'black': 5, 'tempo': 5, 'limited': 5, 'ultimo': 4, 'asleep': 4, 'greatest': 4, 'poster': 4, 'notti': 4, 'velocità': 4, 'vinyl': 4, 'altoparlanti': 4, 'numerato': 4, 'led': 4, 'zeppelin': 4, 'box': 4, 'heart': 4, 'borsa': 4, 'edt': 4, 'colpa': 3, 'favole': 3, 'casa': 3, 'end': 3, 'musica': 3, 'diari': 3, 'aperti': 3}	{'Esclusiva Amazon.it': 17, 'Notti Brave': 4, 'Playlist': 3, 'Diari Aperti': 3, 'Greatest Hits': 3, 'MM Vol': 3, 'Talk Is Cheap': 3, 'Sanremo 2019': 3, 'Einführung': 3, 'MP3': 3, 'Scarpe': 3, 'Martens': 3, 'Polaroid': 3, 'Edizione Autografata': 3, 'Colpa Delle Favole': 2, 'Sempre Bello': 2, 'WHEN WE ALL FALL ASLEEP': 2, 'Sanremo': 2, 'Fleurs': 2, 'Autografata': 2, 'Re Mida': 2, 'Deluxe Edition': 2, 'Raptus 3': 2, '20 Deluxe Edition': 2, 'Hype Aura': 2, 'STANZA SINGOLA': 2, 'Paradiso': 2, 'MOI': 2, 'ION Audio Vinyl Transport': 2, 'Giradischi Ultra Portatile': 2, 'Tre Velocità': 2, 'Valigetta': 2, 'Altoparlanti Stereo Integrati': 2, 'Alimentazione': 2, 'Batterie': 2, 'Uomo Donna Scarpe': 2, 'Numerata': 2, 'Transiberiana': 2, 'Paranoia Airlines': 2, 'Vivi Si Muore': 2, 'Xdvr Reloaded': 2, 'Anthem Of The Peaceful Army': 2, 'Still on My Mind': 2, 'Il Disco Della Giungla': 2, 'Pop Heart': 2, 'Chosen': 2, 'Versione Autografata': 2, 'Giradischi': 2, 'Hellvisback': 2, 'Honk': 2}
3	appliances	383	22	"1353    Wpro SKS101 Kit di accatastamento per lavatric...
Name: title, dtype: object"	0.22555316916398166	{'lavatrice': 41, 'libera': 40, 'installazione': 40, 'asciugatrice': 40, 'candy': 39, 'acciaio': 35, 'microonde': 34, 'piano': 30, 'cottura': 28, 'argento': 26, 'filtro': 26, 'classe': 25, 'litri': 25, 'frontale': 25, 'forno': 23, 'incasso': 23, 'beko': 22, 'carica': 21, 'inox': 21, 'stiro': 20, 'frigorifero': 20, 'led': 20, 'cappa': 19, 'colore': 18, 'energetica': 17, 'congelatore': 17, 'coprilavatrice': 17, 'ferro': 16, 'lavastoviglie': 16, 'induzione': 16, 'vapore': 15, 'electrolux': 15, 'inossidabile': 15, 'confezione': 15, 'a++': 15, 'gas': 14, 'cucina': 14, 'universale': 14, 'pezzi': 14, 'samsung': 13, 'metallo': 13, 'bosch': 13, 'set': 13, 'piastra': 12, 'rowenta': 12, 'elettrico': 12, 'a+++': 12, 'ciarra': 12, 'whirlpool': 12, 'indesit': 12}	{'Litri': 10, 'Ciarra': 9, 'Argento': 7, 'Microonde': 7, 'Libera': 7, 'A++': 6, 'Plastica': 6, 'Grill': 5, 'dB(A': 5, 'Candy': 5, 'Metallo': 5, 'Asciugatrice': 5, 'Acciaio': 5, 'Stiro a Vapore': 4, 'Acciaio inossidabile': 4, 'A+++ Bianco lavatrice': 4, 'FILTRO': 4, 'Grigio': 4, 'Confezione': 4, '800 W': 4, 'Sacco': 3, 'Tecnologia Ciclonica': 3, 'Capacità': 3, '700 W': 3, 'Vapore': 3, 'Spazzola Vaporforce': 3, 'Decibel': 3, 'Inox': 3, 'Bianco lavatrice': 3, 'Bianco asciugatrice': 3, 'Tappetino': 3, 'Riutilizzabile': 3, 'Naturale': 3, 'GU10': 3, 'IP20': 3, 'Tecnologia a Risparmio Energetico': 3, 'Piedini': 3, 'Bianco congelatore': 3, 'Acciaio Inox': 3, 'Colore Bianco': 2, 'Potenza 2400 W': 2, 'Rowenta RO3753EA Compact Power Cyclonic  Aspirapolvere': 2, 'Traino': 2, 'Hoover FD22G Scopa Ricaricabile 2': 2, 'Freedom': 2, 'Grigio Perlato': 2, 'Classe di efficienza energetica A': 2, 'Candy Microonde CMXG20D': 2, 'App Cook': 2, 'Programmi Automatici': 2}
4	electronics	363	26	"20288    RFID Blocking Porta Carte di Credito, Leenou 2...
Name: title, dtype: object"	0.1235704026613118	{'led': 73, 'luce': 51, 'impermeabile': 47, 'luci': 38, 'solare': 37, 'pezzi': 32, 'lampada': 31, 'bluetooth': 30, 'porta': 29, 'esterno': 29, 'confezione': 26, 'iphone': 26, 'test': 26, 'giardino': 26, 'sensore': 26, 'wireless': 24, 'senza': 24, 'digitale': 24, 'portafoglio': 24, 'movimento': 23, 'bambini': 22, 'carte': 21, 'fitness': 20, 'regalo': 19, 'orologio': 19, 'casa': 18, 'solari': 18, 'credito': 18, 'borsa': 18, 'alcaline': 17, 'portatile': 17, 'pelle': 17, 'batterie': 16, 'microfono': 16, 'supporto': 16, 'postura': 16, 'schiena': 16, 'pantaloni': 16, 'parete': 16, 'batteria': 16, 'campeggio': 15, 'usb': 15, 'elettrico': 15, 'cuffie': 14, 'tavolo': 14, 'notturna': 14, 'regolabile': 14, 'acciaio': 14, 'colori': 14, 'rfid': 14}	{'iPhone': 15, 'Confezione': 7, 'Lampada Solare': 7, 'AmazonBasics': 6, 'Hot Thermo': 6, 'Portafoglio': 6, 'Bambini': 6, 'Android': 5, 'Cucina': 5, 'Samsung': 5, 'Ufficio': 4, 'Patio': 4, 'Giardino': 4, 'USB': 4, 'Colori': 4, 'Festa': 4, 'Peso Pantaloni Sauna': 4, 'Campeggio': 4, 'Pezzi': 4, 'Piumoni': 4, 'Coperte': 4, 'Lenzuola': 4, 'Cuscini': 4, 'Capsule Vegetali': 4, 'iOS': 4, 'Tablet': 4, 'Pile': 3, 'Duracell Ultra Power Batterie Alcaline': 3, 'Natale': 3, 'Pollici': 3, 'Luce': 3, 'Percorso': 3, 'Schiena': 3, 'Collo': 3, 'Uomo e Donna': 3, 'Size': 3, 'Pantaloni Dimagranti': 3, 'Sauna Sudore Pantaloni Dimagranti': 3, 'Neoprene Sauna Sudore': 3, 'Huawei': 3, 'Bluetooth': 3, 'Clip': 3, 'RFID': 3, 'Corridoio': 3, 'Armadio': 3, 'Argento': 3, 'Trswyop Fitness Tracker': 3, 'Ultima Versione': 3, 'Braccialetto Pressione Sanguigna Cardiofrequenzimetro': 3, 'Polso GPS Smartwatch Donna Uomo Impermeabile IP67': 3}
5	lighting	313	38	"99    Echo Dot (3ª generazione) - Altoparlante intel...
Name: title, dtype: object"	0.2740747520587085	{'led': 138, 'smart': 83, 'wifi': 76, 'luce': 75, 'alexa': 73, 'intelligente': 72, 'presa': 70, 'google': 63, 'lampadina': 60, 'compatibile': 49, 'home': 46, 'spina': 40, 'striscia': 39, 'lampada': 38, 'usb': 37, 'controllo': 34, 'e27': 34, 'philips': 32, 'app': 32, 'multipresa': 32, 'plug': 30, 'cavo': 29, 'adattatore': 28, 'wireless': 28, 'notturna': 28, 'rgb': 28, 'dimmerabile': 28, 'amazon': 27, 'wi-fi': 27, 'android': 27, 'pezzi': 26, 'hue': 25, 'ios': 25, 'telecomando': 25, 'sensore': 25, 'ifttt': 24, 'schuko': 24, 'prese': 24, 'white': 23, 'kit': 23, 'echo': 22, 'electraline': 21, '10a': 21, 'bticino': 20, 'remoto': 20, 'bambini': 19, 'luci': 18, 'posti': 17, 'set': 17, 'illuminazione': 17}	{'Google Home': 28, 'Alexa': 26, 'Amazon Alexa': 22, 'IFTTT': 18, 'Presa Intelligente': 13, 'Schuko': 12, 'Luce': 11, 'Android': 11, 'WiFi': 10, 'iOS': 9, 'E27': 8, 'Google Assistant': 8, 'Confezione': 7, 'Cucina': 7, 'Corridoio': 7, 'Echo Dot': 6, 'Prese': 6, 'ALEXA': 6, 'Assistente Google': 5, 'Spina Tedesca': 5, 'USB': 5, 'Bagno': 5, 'Scale': 5, 'Compatibile': 5, '250 V': 5, 'Echo Plus': 4, 'Presa Bipasso': 4, 'EZVIZ': 4, 'Wi-Fi Integrato': 4, 'Baby Monitor': 4, 'Visione Notturna': 4, 'Presa': 4, 'Bambini': 4, 'Soggiorno': 4, 'Garage': 4, '9 W': 4, '2 Pezzi': 4, 'Lampadina Smart': 4, 'Timer': 4, 'Colorata': 4, 'Smart Device': 4, 'Striscia Magnetica Adesiva': 4, 'Armadio': 4, 'Lampadina': 4, 'Lampada': 4, 'Philips Hue': 4, 'App Android': 4, 'E14': 4, 'Altoparlante intelligente': 3, 'Apple HomeKit': 3}
6	tools	313	37	"401    Gfone 8 Set di strumenti per manicure per ungh...
Name: title, dtype: object"	0.18641726288315286	{'led': 39, 'lampada': 35, 'batteria': 24, 'laser': 22, 'impermeabile': 21, 'tacklife': 21, 'giardino': 21, 'wireless': 20, 'avvitatore': 19, 'set': 18, 'pezzi': 18, 'luce': 18, 'usb': 18, 'ricaricabile': 17, 'orologio': 17, 'play-doh': 17, 'solare': 16, 'senza': 16, 'digitale': 16, 'esterno': 15, 'bluetooth': 15, 'carrello': 14, 'sale': 14, 'polso': 13, 'quarzo': 13, 'portatile': 13, 'aukey': 13, 'bilancia': 13, 'tangle': 12, 'teezer': 12, 'campanello': 12, 'modalità': 12, 'trapano': 12, 'acciaio': 12, 'cavo': 11, 'regolabile': 11, 'misuratore': 11, 'pasta': 11, 'tubo': 11, 'confezione': 11, 'elettrico': 11, 'bambini': 11, 'torcia': 11, 'acqua': 10, 'misurazione': 10, 'cinturino': 10, 'luci': 10, 'sensore': 10, 'lettura': 10, 'massa': 10}	"{'Batteria': 7, 'Tablet': 6, 'Lampada': 6, 'Indicatore LED': 6, 'De Cecco': 5, 'Volume Regolabile': 4, 'Giardino': 4, 'Patio': 4, 'Cortile': 4, 'Lettura': 4, 'USB': 4, 'Trasmettitore Pulsante': 4, '36 Suonerie': 4, 'iPhone': 4, 'LANGRIA Coperta': 4, 'Android': 3, 'PS3': 3, 'FIXKIT Tubo Estensibile da Giardino in Poliestere Espandibile': 3, 'Fatto in 3 Strati di Lattice': 3, 'Connettori in Rame Puro': 3, 'Getti Diversi': 3, ""Resistente All'usura"": 3, 'Play': 3, 'Cinturino': 3, 'Luci Wireless di Sicurezza Resistenti all’Acqua per Parete': 3, 'Ufficio': 3, 'Pezzi': 3, 'Tangle Teezer': 3, 'BUREI': 3, 'Himalaya': 3, 'Display Retroilluminato': 3, 'Microfono': 3, 'Adattatore': 3, 'Smartphone': 3, 'iPad': 3, 'Laptop': 3, 'Volume': 3, 'Portatile': 3, 'Samsung': 3, 'Huawei': 3, 'Vibrazione': 2, 'Tangle Teezer Original Brush': 2, 'Blue': 2, ""Raggio d'Azione"": 2, 'Metro Laser': 2, 'IP54': 2, 'Custodia': 2, 'Kärcher': 2, '1400 W': 2, 'Doh': 2}"
7	musical-instruments	274	29	"2110    D'Addario PW-LMN Detergente Planet Waves Lemon...
Name: title, dtype: object"	0.2526460929856645	"{'chitarra': 196, 'corde': 68, 'acustica': 59, 'classica': 44, 'elettrica': 44, 'set': 41, 'basso': 40, ""d'addario"": 36, 'violino': 23, 'plettri': 21, 'capotasto': 20, 'ball': 19, 'ernie': 17, 'rivestimento': 17, 'bronze': 17, 'cordes': 16, 'supporto': 16, 'cavo': 16, 'light': 16, 'tensione': 16, 'jack': 15, 'elixir': 15, 'muta': 15, 'custodia': 14, 'composta': 14, 'tracolla': 14, 'guitare': 13, 'ukulele': 13, 'waves': 13, 'zaino': 13, 'rayzm': 12, 'planet': 12, 'accordatore': 12, 'martin': 12, 'pour': 11, 'slinky': 11, 'calibre': 11, 'phosphor': 11, 'nanoweb': 11, 'elettrico': 11, '4/4': 11, 'électrique': 10, 'portatile': 10, 'borsa': 10, 'regolabile': 10, 'donner': 10, 'pezzi': 10, 'cavi': 10, 'strumenti': 10, 'legno': 10}"	"{'Corde': 22, 'Chitarra': 15, 'Basso': 13, 'Chitarra Elettrica': 12, 'Rivestimento Nanoweb': 11, 'Cordes pour guitare': 9, 'Chitarra Acustica': 9, 'Violino': 7, 'Ukulele': 5, 'Muta Composta': 5, 'Bronzo': 4, 'Confezione': 4, 'Chitarra Classica': 4, 'Chitarra Acustica Phosphor Bronze': 4, 'Light': 4, 'Maschio': 4, ""D'Addario PW"": 4, 'Rayzm': 3, 'Elettrico': 3, 'Chitarra Basso': 3, 'Custom Light': 3, 'Accordatore': 3, 'WND': 3, 'Donner': 3, 'Rivestimento Polyweb': 3, 'Basso Elettrico': 3, 'Rayzm Tracolla': 3, 'Pezzi Plettri': 2, 'Mugig Cavo': 2, 'Tastiera con Rivestimento in Tweed': 2, 'Diritto a Angolo a Destra': 2, 'Plettri per Chitarra': 2, 'Plettri': 2, 'Chromatic': 2, 'Celluloide': 2, 'Strumenti Musicali': 2, 'Jack 6,3': 2, 'Legno': 2, 'Ibanez': 2, 'Super Light': 2, 'iPhone': 2, 'iPad': 2, 'Neewer': 2, 'Rayzm Cavi Patch': 2, 'Effetti per Chitarra': 2, 'Custodia': 2, 'Classica': 2, 'Acustica': 2, 'Fender 0930307006': 2, 'SA-105CE Chitarra': 2}"
8	baby	240	21	"1759    jane, Mutande post-parto in tessuto elastico, ...
Name: title, dtype: object"	0.2787122524448376	{'chicco': 63, 'pezzi': 36, 'bambini': 26, 'allattamento': 25, 'philips': 22, 'sangenic': 21, 'avent': 20, 'set': 20, 'passeggino': 20, 'tommee': 18, 'tippee': 18, 'confezione': 17, 'ricarica': 16, 'cuscino': 14, 'mesi': 14, 'tec': 13, 'pannolini': 13, 'culla': 12, 'latte': 11, 'universale': 11, 'silicone': 11, 'reggiseno': 11, 'senza': 11, 'cotone': 11, 'coppette': 10, 'bambino': 10, 'morbido': 10, 'protezione': 9, 'colori': 9, 'baby': 9, 'neonati': 9, 'lampada': 8, 'usb': 8, 'colore': 8, 'pappe': 8, 'neonato': 8, 'smaltimento': 8, 'borsa': 8, 'led': 7, 'livelli': 7, 'monouso': 7, 'boppy': 7, 'termometro': 7, 'digitale': 7, 'assorbilatte': 7, 'sistema': 7, 'grigio': 7, 'unghie': 7, 'contenitori': 7, 'plus': 6}	{'Confezione': 6, 'Grigio': 5, '2 Pezzi': 4, 'Silicone': 4, 'Nuby': 4, 'Passeggino': 4, 'Dimmerabili': 3, 'Porta di Ricarica USB': 3, 'Smartphone': 3, 'Sangenic Tommee Tippee & Sangenic Tec | Angelcare | Litter Locker II': 3, '6 Pezzi': 3, 'Hauck': 3, 'Navicella': 3, 'Materasso': 3, 'Funzione Massaggio': 3, 'Memoria da Momcozy': 3, 'Livelli': 3, 'Touchscreen': 3, 'Super Silenzioso': 3, 'Ricaricabile Tramite USB': 3, 'Lampada': 3, 'Mesi': 3, '1 Pezzo': 3, 'Seggiolino Auto': 3, 'Succhietti': 2, 'Ricarica Mangiapannolini Multistrato leggermente Profumata': 2, 'Trattamento Antiodore EVOH': 2, 'Adulti': 2, 'Tommee Tippee Ricariche Sangenic TEC': 2, 'Sistema Avanzato': 2, 'Smaltimento Pannolini Twist and Click': 2, '3 Pezzi': 2, 'Chicco 00006569000000 Spazzola': 2, 'Pettine': 2, 'Chicco 00007389000000 Scaldabiberon Casa/Auto': 2, 'Trio Passeggino 3': 2, 'Posizione Nanna': 2, 'Ciuccio': 2, 'Coppette Assorbilatte Monuso': 2, 'Beccuccio Morbido': 2, 'Valvola Anti': 2, 'Goccia': 2, 'Brevettata': 2, 'Ciuccio per Alimenti': 2, 'Gioco per Stimolare la Dentizione dei Bambini in Colori': 2, 'Stimolano l’Appetito': 2, 'Sacchetti': 2, 'Tutte le Taglie': 2, 'MAM 670183': 2, 'Tazza di apprendimento': 2}
9	luggage	240	14	"530    Travel Buddy, Lucchetti per i bagagli, 4 cifre...
Name: title, dtype: object"	0.153221176971177	{'viaggio': 64, 'bagaglio': 43, 'mano': 39, 'borsa': 37, 'borse': 25, 'valigia': 24, 'cuscino': 24, 'zaino': 23, 'ipad': 21, 'ryanair': 21, 'capsule': 20, 'trolley': 20, 'set': 19, 'barba': 18, 'bagagli': 17, 'portatile': 16, 'porta': 16, 'aereo': 16, 'tracolla': 16, 'usb': 15, 'denti': 14, 'custodia': 14, 'lavazza': 13, 'bambini': 13, 'pollici': 13, 'tsa': 12, 'nespresso': 12, 'valigie': 12, 'compatibili': 11, 'box': 11, 'air': 11, 'unisex': 11, 'pezzi': 10, 'approvato': 10, 'amazonbasics': 10, 'etichette': 10, 'cabin': 9, 'dimensioni': 9, 'adulto': 9, 'adattatore': 9, 'tag': 9, 'batteria': 8, 'western': 8, 'digital': 8, 'secondo': 8, 'grande': 8, 'rigida': 8, 'abs': 8, 'liquidi': 8, 'antifurto': 8}	{'Bagaglio': 12, 'Pollici': 8, 'Ryanair': 8, 'Valigia': 7, 'Trolley': 7, 'USB': 6, 'AmazonBasics': 6, 'Mano': 6, 'iPad': 5, 'Confezione': 5, 'Taglia Unica': 5, 'EasyJet': 5, 'Giovanni': 4, 'Modello': 4, 'Bambini': 4, 'IATA': 4, 'Western Digital Elements Portable Hard Disk Esterno Portatile': 3, 'Leone 1947': 3, 'Borse': 3, 'USA': 3, 'Zaino': 3, '50L': 3, 'ABS': 3, 'iPad Air 2': 3, 'Ryanair 35x20x20': 3, 'Valigia Borsa da Viaggio': 3, 'Accumulazione': 3, 'Ragazza': 3, 'Ragazzo': 3, 'CABIN GO Zaino': 3, 'MAX 5540': 3, 'Black': 3, 'Alitalia': 3, 'Aereo': 3, 'Lavazza compatibili NESPRESSO MISCELA DECISO': 2, 'Singer BSM 203 Levapelucchi': 2, 'Batteria Inclusa': 2, 'Denti da Latte': 2, 'Scatoletta di Memoria Scatolina Porta Dentini': 2, 'TROLLEY BAGAGLIO A MANO': 2, 'RYANAIR': 2, 'VUELING': 2, 'WIZZ AIR': 2, 'Cabin Max Metz Zaino': 2, 'Viaggio Bagaglio': 2, 'Mano Approvato': 2, 'Cabin Size': 2, 'Borsone Ryanair 14L Bagaglio a Mano 35x20x20': 2, 'Massime Secondo Valigia': 2, 'Viaggio con tracolla': 2}
10	jewelry	239	17	"7008    Fablcrew - Braccialetto da donna, alla moda, d...
Name: title, dtype: object"	0.2508980313312089	"{'argento': 121, 'regalo': 81, 'braccialetto': 78, 'orecchini': 65, 'gioielli': 60, 'bracciale': 58, 'collana': 57, 'anello': 41, 'ciondolo': 41, 'donne': 40, 'sterling': 34, 'cristalli': 32, 'cuore': 32, 'orologio': 28, 'perla': 26, 'zirconi': 24, 'swarovski': 23, 'elegante': 23, 'pendente': 23, 'regolabile': 22, 'moda': 22, 'oro': 21, 'confezione': 21, 'acciaio': 20, 'san': 19, 'valentino': 18, 'pendenti': 17, 'placcato': 17, 'strass': 17, 'forma': 16, 'b.catcher': 15, 'catena': 15, 'amesii': 15, 'compleanno': 14, 'dolce': 14, 'mamma': 14, 'inox': 14, 'perle': 14, 'polso': 14, 'natale': 13, 'zircone': 13, 'senza': 13, 'catenina': 13, 'ideale': 12, 'diamante': 12, 'regali': 12, 'colore': 12, 'cristallo': 12, ""d'acqua"": 11, 'bella': 11}"	{'Sterling 925': 13, 'Orecchini': 13, 'San Valentino': 10, 'B.Catcher': 9, 'Argento Sterling 925': 8, 'Confezione Regalo Elegante': 8, 'Regalo Della Festa Della Mamma': 7, 'Anello': 7, 'Collana': 7, 'Donna Braccialetto': 6, 'Prova SGS Passata Senza Nickel': 6, 'Bracciale': 6, 'Senza Allergeni': 5, 'Cristalli Swarovski': 5, 'ANGEL': 5, 'Cosanter Collana': 5, 'Donna Gioielli Ciondolo Gioielli': 5, 'Sposa Regalo': 5, 'Braccialetto da donna': 5, 'Confezione Bella': 5, 'Natale': 4, 'Confezione Regalo': 4, 'Braccialetto': 4, 'Ciondolo donna Bracciale Orologio': 4, 'Bead Ciondolo': 4, 'PILA': 4, 'BOTTONE': 4, 'Argento': 3, 'Regali Romantico': 3, 'Amilril Donna 925 Sterline Argento': 3, 'Venduto Separatamente] Farfalla': 3, 'Cristalli Swarovski Blu': 3, 'Ragazza': 3, 'Braccialetto Pandora': 3, 'Oidea Bracciale Braccialetto': 3, 'Love Lock': 3, 'Amesii': 3, 'Argento 925': 3, 'LDUDU®': 2, 'Braccialetto femminile 925': 2, 'San valentino': 2, 'Orecchini in Argento 925': 2, 'D.Perlla Donna Perla': 2, 'Orecchini Orecchini Pendenti': 2, 'Catena Lunga': 2, 'Nappa': 2, 'Perla': 2, 'Leisial Regalo Femminile': 2, 'Anello di Barretta del Diamante della Bocca di Diamante della Bocca di Rame': 2, 'Bianca Pura': 2}
