_id	title	category	price	avg_rating	pictures	questions_number	reviews_number
B07BFNF3Z2	Led Armadio Sensore Movimento Luce, Wireless Luci Notturne Barra Lampada Guardaroba, Usb Batteria Ricaricabile Luce Emergenza, Striscia Magnetica Adesiva Luce per Armadio Scale Corridoio Cucina 2PCS	lighting	20.99	4.3	['https://images-na.ssl-images-amazon.com/images/I/61eS%2BYa4AOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71XWQKlCSLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71NRygbXOPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/719rTKZZGrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71aqHWEbT9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Y8tIkf9bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71DAwxFN0KL.jpg']	32	133
B01APU2UVQ	Coppia di solenoidi professionali per terapia ad alta intensità CV2S2000 per apparecchi per magnetoterapia I-TECH MAG 700-MAG 2000-MAG 2000 PLUS	hpc	122.0	4.6	['https://images-na.ssl-images-amazon.com/images/I/41y4sAevnCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41y4sAevnCL.jpg']	6	11
B0156FZC88	SBS Occhiali Protettivi Da Lavoro occhiali Occhiali sicurezza CE EN166	tools	7.99	4.4	['https://images-na.ssl-images-amazon.com/images/I/71nu9h5nw%2BL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61if1xrol2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nN-KM8EdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512K8kjtBAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HaJCB29aL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vDwPAwyjL.jpg']	7	109
B071XX4K86	NUOLUX Giocattoli Sonagli Shake Rattle per Neonati Bambini 9 pezzi (colore casuale)	toys	23.0	4.4	['https://images-na.ssl-images-amazon.com/images/I/71cGAqrD7jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/718by7ZJG3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71Eyh5iX0qL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61SaiB8WXwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/716yhHKewTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71kuy4rDUJL.jpg']	11	84
B00JAL3FIO	Pattex 1415614 Biadesivo in Tassello, 4 cm x 2 cm	industrial	4.49	3.3	['https://images-na.ssl-images-amazon.com/images/I/61cKjLgoKBL.jpg']	0	3
B00JLC3FUA	Body By Vi SHAPE Mix - 930g Bag (30 Servings - 60 scoops) by Body By Vi	hpc	59.99	4.1	['https://images-na.ssl-images-amazon.com/images/I/41PKpV154iL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Phc26scCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41iID9kBP2L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Ty%2BTe%2BsKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510Gewa7SWL.jpg']	66	142
B07H4P3X4W	"BRACCIALE IN ACCIAIO 316L CON CIONDOLO""IL CUORE DI UNA NONNA"""	jewelry	29.0	4.8	['https://images-na.ssl-images-amazon.com/images/I/519lkVkMUYL._AC_UL1500_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FVhxZvvEL._AC_UL1500_.jpg']	4	12
B07DNZFH2Y	Ubisoft Starlink Weapon Pack, Nessuna Piattaforma Specifica, Shockwave + Gauss	videogames	1.0	4.5	['https://images-na.ssl-images-amazon.com/images/I/81UoNEbxPqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91qrQd58HIL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71WpDvOOMpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61TobL6MZVL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61kJbkOYwrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61sdFn4qXaL.jpg']	0	2
B075H649NR	SUNLU 3D Printer Filament PLA Plus, 1.75mm PLA Filament, 3D Printing Filament Low Odor, Dimensional Accuracy +/- 0.02 mm, 2.2 LBS (1KG) Spool 3D Filament, Grey PLA+	industrial	18.99	4.3	['https://images-na.ssl-images-amazon.com/images/I/61KKRhgHrOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/614hkRd33UL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61q6jn7iqxL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61l0R7WBsFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Na2lD1%2B6L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Qd0n68RPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61yXTzfjKDL.jpg']	0	463
8820067706	After	books	13.51	3.9	['https://images-na.ssl-images-amazon.com/images/I/818Aw7oyh7L.jpg']	0	332
