_id	product	title	author-id	author-name	date	rating	helpful	verified	body
R3LOC2SY5P6SFG	B00ESBHG3Q	Mai piú	AEXYSAO4S34UWTWDY46Y3XJ7UZ6A	Cliente Amazon	2019-01-29	1	64	True	Mi è stato divorato dal cane
R301GEFAEYR1Z6	B00ESBHG3Q	Speranze Deluse	AGCQQZPC6QHOYDGUN45YJN6KXHOA	Spidey007	2019-01-31	1	20	True	"Possiedo ed ho giocato tutti i giochi della saga, ma proprio tutti, e quindi non potevo esimermi dal prendere questo nonostante tutti i siti di VG avvertissero su un gioco se non proprio deludente almeno al di sotto delle aspettative, l'ho preso, lo sto giocando ma non credo che lo finirò perchè sta diventando insopportabile; già all'inizio mi convinceva poco il fatto che si perdessero lunghissimi minuti in una serie di cut scene, che pur potendo ritenersi necessarie per chi non aveva giocato i precedenti capitoli, potevano essere abbreviate nei lunghissimi monologhi che le caratterizzano, si è preferito rendere il gioco lento, terribilmente lento, strappando sbadigli e costringermi spesso a fare altro per non spegnere la Console in preda a noia mortale. Parliamo del gioco in se stesso, le meccaniche del gioco non sono cambiate, i combattimenti sono coloratissimi e pieni di effetti speciali, gli avversari ""standard"" si superano con facilità, i Boss di fine livello richiedono maggiore concentrazione ma niente di che...ma il vero problema restano le immancabili cut scene che interrompono il ritmo di continuo, non si riesce a far niente per più di 5 minuti senza essere interrotti da queste irritanti scene all'interno delle quali dialoghi stucchevoli tra i protagonisti le rendono insopportabili; la trama è nota a chi conosce la saga e da come si sta procedendo credo che tutti i nodi ancora irrisolti saranno alla fine sciolti ma resta l'amarezza di aver aspettato anni per un finale di saga che non so ancora se ci sarà davvero, un gioco sfavillante e pieno di colori e di animazioni, combattimenti frenetici ma brevi e comunque tutti uguali tra loro, nessuna variazione sul tema, i fondali cambiano, i livelli si susseguono ma la sostanza non cambia...nel complesso una solenne delusione ed una solenne bocciatura, sono completamente in linea con le recensioni di altri siti specializzati  e gamers  del settore siti che non hanno in nessun caso mostrato entusiasmo, ma se vi piace buon divertimento"
R3E3C5XRQS1N5T	B00ESBHG3Q	Gioco eccezionale!!!! (minigiochi esclusi)	AE4BM6S2NT7HCSCLSMYA5ZPEAHAQ	Kevin	2019-03-03	4	1	True	"Aspettavo Kingdom Hearts 3 da più di 10 anni.
Adoro la saga e ci gioco dal primo KH.
Devo dire che la mia attesa è valsa lo sforzo!! Kingdom Hearts 3 è un gioco bellissimo!!
A livello di gameplay riprende i giochi precedenti, sebbene ora Sora disponga di mosse sempre più potenti e il gioco risulta molto più facile rispetto ai capitoli precedenti (anche giocando a difficoltà esperto, non avrete problemi a terminare il gioco).
Le nuove fusioni sono veramente belle. Ora Sora può fare delle trasformazioni con il Keyblade (ogni keyblade ne ha una diversa). Mi spiace un po’ che non ci siano più le fusioni del 2 (in questo kh Sora userà solo un keyblade), vabbè. Queste sono belle e variegate. Le attrazioni sono una nuova componente per colpire i nemici. Sono molto belle, anche se a dire il vero dopo un po’ stufano. I Legami invece non mi sembrano una buona idea (sono le invocazioni. Ma sono praticamente inutili. Consumano tutti gli mp e per quello che fanno sono uno spreco di tempo. Le migliori a mio parere restano quelle del primo kh. Trilli e bambi erano utili. Queste fanno solo un po’ di scena).
Per quanto riguarda i mondi sono molto soddisfatto. Sono realizzati in modo impeccabile e sono vastissimi. Sono molto vari e contengono un sacco di cose da fare (sui mini giochi sparsi nei mondi sono un po’ deluso ma spiegherò meglio dopo).
Riguardo la storia sono molto contento!!! L’ho trovata epica e anche commovente in certi punti. Vengono risolte le varie storie rimaste aperte nei capitoli precedenti e si apre un nuovo arco narrativo per i prossimi giochi. Inoltre la parte finale è veramente piena di battaglie epiche!! Mi è piaciuta tantissimo!!
Esplorazione: come ho già detto i mondi sono veramente vasti! Finché non lo giocate non vi renderete conto (non ci sono paragoni coi capitoli precedenti!). Per cercare di prendere tutti gli oggetti e i segreti che il gioco ha da offrire dovrete girare in lungo e in largo.
Sora in qualche modo ha imparato a camminare sui muri e quindi potrete davvero andare quasi ovunque.
Gummiship: come in ogni capitolo numerato, anche stavolta avremo la gummiship per viaggiare tra i mondi!! Questa parte di KH mi è sempre piaciuta, e anche in questo capitolo sono stato piacevolmente sorpreso. Rispetto si precedenti, c’ Una grande fase esplorativa delle galassie per ottenere oggetti e pezzi per la gummiship. Le battaglie sono facili, ma non per questo meno piacevoli da fare.
Mini giochi: eccomi arrivato a quella che secondo me è la nota dolente del gioco. Premetto che molti minigiochi mi sono piaciuti e mi piace anche il fatto che siano tanti. Il problema è che alcuni di essi si sono rivelati frustranti e questa è una cosa che non mi è piaciuta.
Parlo della discesa su neve ad Arendelle, alcune sfide dei budini e di un minigioco della cucina del piccolo chef. Riguardo a quest’ultimo forse sono io ad essere impedito (il minigioco delle uova), ma mi ha fatto sclerare davvero tanto. Riguardo alla slitta e ai budini, non capisco davvero che senso abbia mettere dei giochi che potrebbero anche essere piacevoli, se poi mettete la soglia per il punteggio migliore (che serve a ottenere materiali rari) a un livello così alto. Da divertente il gioco è diventato frustrante!! Anche perché il gioco principale di kh3 è tutto sommato facile! Non ci sono scontri impegnativi. Che senso ha mettere dei minigiochi frustranti? Questa parte secondo me andava assolutamente bilanciata meglio! Non transigo! Ed è per questo che la mia valutazione ha 4 stelle invece di 5 (il gioco purtroppo su questo è stato male bilanciato).
Detto questo, ci tengo a precisare che invece molti altri minigiochi sono molto belli e piacevolissimi! In particolare, ho apprezzato quelli del bosco dei 100 acri e i minigiochi del regno classico (sono più di 20) Anche i minigiochi di toy story e  rapunzel mi sono piaciuti (sebbene siano andati vicino alla soglia di frustrazione).
Conclusione: KH 3 è un gioco che non può mancare ai fan della saga! Io l’ho trovato stupendo (escludendo alcuni minigiochi) e consiglio assolutamente di giocarci!!"
R3OAW8BU5J3Z94	B00ESBHG3Q	Cura del dettaglio: che soddisfazione!	AHUDPMVJIFD2VNEZEXYZLSRSIAKQ	Nico	2019-02-01	5	2	True	"Ordine arrivato in perfetto orario grazie al servizio Amazon Prime.
Il Gioco è ottimo; il Gameplay è ricco di elementi che rompono la monotonia anche a livelli di difficoltà più semplici grazie all’integrazione delle peculiarità dei capitoli precedenti. La grafica soddisfa appieno le aspettative presentando solo raramente dei piccoli cali qualitativi.
Le musiche sono coinvolgenti e ben strutturate per i momenti tutti i momenti del gioco.
La trama soddisfa in pieno le alte aspettative presentando solo in rari casi (riguardanti l’universo Disney) dei cali dovuti alla difficoltà di adattare storie autonome alla trama principale.
Una particolare nota di merito per l’evidente studio del dettaglio rende il gioco godibile in tutte le sue parti.
Grazie dell’ottimo lavoro."
RK9E21B46DMRC	B00ESBHG3Q	Finalmente!!	AERX4Z7XI7ZFQRV5J4HWNSTO4OZQ	N.S.	2019-01-29	5	2	True	Dopo anni finalmente KHIII è tra le mie mani! Semplicemente fantastico, non ho altre parole per descriverlo! Anche se non si è fan della saga o si è impauriti dalla storia (incredibilmente intricata), consiglio comunque di leggersi qualche cosa online o guardare qualche video riassuntivo... ma assolutamente non perdetevi questo capolavoro!
R3S133SUAO0T4D	B00ESBHG3Q	Emozioni emozioni capolavoro	AEYQK63XGKAX64GYGTT4XW525CCQ	Kimy	2019-01-30	5	2	True	Behh... Che dire dopo 10 anni d'attesa è tante emozioni che questa serie ci ha regalato c'è ben poco da dire le uniche parole che posso esprimere sono capolavoro... E tante emozioni per gli appassionati da avere a tutti i costi ma anche per chi non conosce questo titolo io lo consiglio ad occhi chiusi ovviamente da giocare tutta la serie Cmq bellissimo
R2VF9VNCW57FOL	B00ESBHG3Q	Il sogno diventa realtà	AH4OC4SOHJG27T7DYY75ZXCESQKQ	Pietro Renna	2019-01-30	5	2	True	"Finalmente è uscito l'ultimo capitolo di una saga che va avanti da anni ed Anni,e con tutte le novità che ci sono non fa altro che confermare la magnifica validità del titolo.
Su PS4 Slim gira veramente bene, è ottimizzato in maniera eccellente ed offre una grafica emozionante,colorata e al TOP grazie anche alla collaborazione con la Pixar,che rende questo gioco una vera e propria perla.
Ovviamente,chi fosse interessato a giocarlo deve conoscere tutta la storia e giocare TUTTI i capitoli precedenti,perché non è un gioco che si può comprare senza essere a conoscenza della storia,che è una delle più complicate ma altrettanto belle della storia videoludica."
R2YXOKHMPL48V4	B00ESBHG3Q	Il gioco più atteso di sempre...!	AEP4WER2IDDXQ3LIE3IX63STM7SA	Francesco Merlino	2019-02-10	5	1	True	Penso che per i fan della saga sanno quanto abbiamo desiderato questo momento...di poter mettere le mani sulla versione next gen di questo gioco...parlo dopo averlo ricevuto con un giorno di ritardo dal day one anche avendo fatto il preordine...ma posso anche capirlo visto il maltempo fatto nella mia zona...quindi sempre complimenti al servizio Amazon Prime...dopo averlo provato e giocato,posso dire di essere pienamente soddisfatto del lavoro svolto sul gioco...molto più complesso di prima...e pieno di novità rispetto al passato...lo consiglio a chi si aspetta di finire la saga...e consiglio di rigiocare le versioni precedenti a chi non le ha mai provate...Ottimo titolo consigliato a tutti i giocatori di console...!
R3LLFYCCPW8V5A	B00ESBHG3Q	Spedizione nei tempi previsti, prodotto superlativo	AFCALENAJJFVQWJW2GWHCOOLCCIQ	martasaru	2019-02-25	5	0	True	"Kingdom Hearts 3, per la natura della saga e per le grandissime aspettative createsi negli anni, può solo deludere o conquistare, senza vie di mezzo. A me è piaciuto immensamente, in tutti gli aspetti importanti (meno le gummiship che ho sempre odiato ma lo sviluppo della nave è una parte opzionale del titolo che quindi non ha intaccato più di tanto la mia esperienza videoludica) e posso dire di aspettare con serenità il seguito, che se le cose vanno come sono andate fin'ora arriverà probabilmente tra sei o sette anni.
La spedizione fortunatamente ha rispettato i tempi promessi ed il pacco è arrivato sano e salvo il giorno dell'uscita."
R20MQUG6IEKKUN	B00ESBHG3Q	Bello finché non è uscito	AFQLYFSPHE6SWHD64SKSNBHFWVJQ	Federico Buscema	2019-02-27	1	3	True	Storia scritta da una scimmia ubriaca, gameplay povero e fine a se stesso, mondi tanto grandi quanto vuoti, magia perennemente castrata dalla pessima scrittura dei personaggi, finale che emoziona obbligatoriamente ma che dopo 10 minuti causa non pochi conati di vomito, concludo dicendo, XEANORT, che vergogna, il finale sembra un episodio di Don Matteo
