id_from	id_to	cat_from	cat_to	edge_betweenness
B00X3Y78DM	B07CLLX8J1	sports	garden	6.232597769000494e-09
B0162YQG2I	B01DDM7RV6	electronics	garden	7.439228697078989e-05
B0162YQG2I	B079GTYCW4	electronics	pc	0.00014877210874604177
B07PVNVC56	B07PCH7KJH	shoes	sports	7.439228697078989e-05
B07GYDN3NT	B00067LYHU	shoes	watch	0.00029749435670993154
B00D6OI99G	B00178J9E2	office	tools	4.986078215200395e-07
B01M2YUP0S	B07JD1GL7D	videogames	electronics	7.439228697078989e-05
0500203474	8809991915	english-books	books	1.869779330700148e-08
B07H9WZL2W	B00SBA5COK	pet-supplies	electronics	0.00022313946532575568
B07H9WZL2W	B00M9WUT1W	pet-supplies	kitchen	7.439228697078989e-05
1463750358	8822707451	english-books	books	4.4874703936803555e-07
B00CMN6Y5I	B07HZ3XK4L	hpc	baby	6.232597769000494e-09
B06XFF7SQN	B07NCG9547	pc	electronics	7.439228697078989e-05
B07P84VCNJ	B015CH1PJU	tools	pc	0.002448363846792002
B07P84VCNJ	B07KSPTK46	tools	garden	7.439228697078989e-05
B075H28M6K	B015T24PL8	toys	appliances	0.0019301482726906869
B077HYHBKP	B07L21NQ5D	toys	apparel	0.00044616674389166936
8890955503	B07K8JDWS9	books	watch	0.0007433619359086889
B01N9J85P3	B01IPCA7UC	tools	electronics	7.439228697078989e-05
B0088PUEPK	B076TP35WB	pc	electronics	7.439228697078989e-05
B01IZVS8D6	B01N4MP09J	kitchen	sports	9.97215643040079e-08
B001PNY8J0	B07Q2ZGPFP	kitchen	garden	1.2465195538000987e-08
8808117316	8808137406	english-books	books	1.1218675984200889e-07
B01M6Y009D	7203000338	garden	pet-supplies	7.439228697078989e-05
B00JTV7ZYK	B01J5RHBQ4	electronics	pc	7.439228697078989e-05
B01J5RHBQ4	B073D2SMMX	pc	electronics	0.00014877210874604177
B01J5RHBQ4	B07N47GQRN	pc	kitchen	7.439228697078989e-05
B0050IHGLI	B07JCD7N2K	kitchen	tools	7.439228697078989e-05
B01MSUK566	B07KKNL64B	grocery	shoes	7.439228697078988e-05
B01MSUK566	B00W506FIY	grocery	kitchen	0.0008918847407439706
B01MSUK566	B07PBFDH98	grocery	garden	7.439228697078988e-05
B07JY3JFWM	B003XII9EK	automotive	tools	0.00022313946532575568
B07KKY7MP7	B07N1H6R1J	toys	musical-instruments	0.0013371539905569039
B003GEK2YG	B007W3VXRW	appliances	sports	7.439228697078989e-05
078696619X	1945625392	english-books	toys	9.97215643040079e-08
B01BC69BAU	B00ZFQC0KC	videogames	electronics	0.00014877210874604177
B071HNJMFM	B079QXZ5LF	kitchen	jewelry	7.439228697078988e-05
B013SD5CMQ	B0767ZMPCF	automotive	electronics	4.986078215200395e-08
B06Y3JPKNG	B00IIE0D70	lighting	kitchen	1.2465195538000987e-08
B07DMJPV31	B07P1YJ7PS	videogames	electronics	7.439228697078989e-05
B00GN8S7ZS	B01723C4DI	automotive	sports	1.6828013976301334e-07
